Item,Item code,Type,Parent code,Link
Beteendevetenskap,SABET,focus,SA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=SA001&orientationCode=SABET&orientationName=Beteendevetenskap&a=SABET&tos=gy
"Medier, information och kommunikation",SAMED,focus,SA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=SA001&orientationCode=SAMED&orientationName=Medier%2C+information+och+kommunikation&a=SAMED&tos=gy
Samhällsvetenskap,SASAM,focus,SA,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=SA001&orientationCode=SASAM&orientationName=Samh%C3%A4llsvetenskap&a=SASAM&tos=gy
Sjöfartsutbildningen,SX,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=SX&version=6&tos=gy
Däck,SXDAC,focus,SX,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=SX&orientationCode=SXDAC&orientationName=D%C3%A4ck&a=SXDAC&tos=gy
Maskin,SXMAS,focus,SX,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=SX&orientationCode=SXMAS&orientationName=Maskin&a=SXMAS&tos=gy
Teknikprogrammet,TE,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=TE001&version=13&tos=gy
Design och produktutveckling,TEDES,focus,TE,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=TE001&orientationCode=TEDES&orientationName=Design+och+produktutveckling&a=TEDES&tos=gy
Informations- och medieteknik,TEINF,focus,TE,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=TE001&orientationCode=TEINF&orientationName=Informations-+och+medieteknik&a=TEINF&tos=gy
Produktionsteknik,TEPRO,focus,TE,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=TE001&orientationCode=TEPRO&orientationName=Produktionsteknik&a=TEPRO&tos=gy
Samhällsbyggande och miljö,TESAM,focus,TE,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=TE001&orientationCode=TESAM&orientationName=Samh%C3%A4llsbyggande+och+milj%C3%B6&a=TESAM&tos=gy
Teknikvetenskap,TETEK,focus,TE,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=TE001&orientationCode=TETEK&orientationName=Teknikvetenskap&a=TETEK&tos=gy
Tågteknikutbildningen,TX,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=TX&version=4&tos=gy
Utbildningen samiska näringar,UX,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=UX&version=2&tos=gy
VVS- och fastighetsprogrammet,VF,programme,,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=VF001&version=15&tos=gy
Fastighet,VFFAS,focus,VF,https://www.skolverket.se/sitevision/proxy/undervisning/gymnasieskolan/program-och-amnen-i-gymnasieskolan/gymnasieprogrammen-gy11/program/svid12_5dfee44715d35a5cdfa9295/907561864/syllabuscw/jsp/program.htm?programCode=VF001&orientationCode=VFFAS&orientationName=Fastighet&a=VFFAS&tos=gy
